iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
COL,17,-0.008722726687356748,,2,0,1,1
COL,18,0.001249172527524368,0.0,4,0,4,0
COL,19,0.019815533971311763,0.4,5,2,3,0
COL,20,-0.0010797588460942124,0.0,9,0,9,0
COL,21,0.001384339187951075,0.1111111111111111,9,3,4,2
COL,22,0.009056096876128485,0.375,8,3,5,0
COL,23,-0.021174657290429104,-0.5,8,0,4,4
COL,24,0.005871677073975511,0.16666666666666666,6,2,3,1
COL,25,-0.01172013886764641,-0.6666666666666666,3,0,1,2
CRI,1,0.0007712463263788082,0.0,5,0,5,0
CRI,2,-0.0005624885305173762,0.0,5,0,5,0
CRI,3,,,0,0,0,0
CRI,4,0.000363068320619366,,2,0,2,0
CRI,5,,,0,0,0,0
CRI,6,0.0007261366412387819,,1,0,1,0
CRI,8,,,0,0,0,0
CRI,9,,,0,0,0,0
CRI,10,-2.7640520703411045e-17,,1,0,1,0
CRI,11,,,0,0,0,0
CRI,12,0.00034451559224998787,0.0,3,0,3,0
CRI,13,-0.005643176376562913,,2,0,2,0
CRI,14,-0.001543044941536248,0.0,5,0,5,0
CRI,15,0.00016648255035530248,0.0,7,0,7,0
CRI,16,-0.0005624885305173554,0.0,5,0,5,0
CRI,17,-0.005051795139875103,,2,0,1,1
CRI,18,0.0001410515872096076,0.0,4,0,4,0
CRI,19,4.907077172809206e-18,0.0,5,0,5,0
CRI,20,-4.344449476538219e-05,0.0,9,0,9,0
CRI,21,0.0012800851471467178,0.0,9,0,9,0
CRI,22,-4.101255725744707e-05,0.0,8,0,8,0
CRI,23,-0.0009155746757401933,0.0,8,0,8,0
CRI,24,-0.0015454291254082075,-0.16666666666666666,6,0,5,1
CRI,25,-0.0004380294562632268,0.0,3,0,3,0
CYP,1,0.0020595167952460634,0.0,5,0,5,0
CYP,2,0.002518901485541844,0.2,5,1,4,0
CYP,3,,,0,0,0,0
CYP,4,-0.019298087495986316,,2,0,1,1
CYP,5,,,0,0,0,0
CYP,6,-0.003064696693032021,,1,0,1,0
CYP,8,,,0,0,0,0
CYP,9,,,0,0,0,0
CYP,10,0.007939369390081151,,1,0,1,0
CYP,11,,,0,0,0,0
CYP,12,0.006154118628176395,0.2,5,1,4,0
CYP,13,0.02023504666007014,,2,1,1,0
CYP,14,0.005284045455715937,0.2,5,1,4,0
