country_name,year,civicus_score,civicus_rating
Spain,2025,67.73,Narrowed
Sri Lanka,2022,45.53,Obstructed
Sri Lanka,2023,31.27,Repressed
Sri Lanka,2024,37.0,Repressed
Sri Lanka,2025,40.29,Repressed
St Kitts and Nevis,2023,82.81,Open
St Kitts and Nevis,2024,85.0,Open
St Kitts and Nevis,2025,89.68,Open
St Vincent and the Grenadines,2023,83.77,Open
St Vincent and the Grenadines,2024,91.0,Open
St Vincent and the Grenadines,2025,87.62,Open
Sudan,2023,21.08,Repressed
Sudan,2024,21.0,Repressed
Sudan,2025,9.03,Closed
Suriname,2023,77.38,Narrowed
Suriname,2024,77.0,Narrowed
Suriname,2025,80.0,Narrowed
Sweden,2023,85.05,Open
Sweden,2024,87.0,Open
Sweden,2025,81.0,Open
Switzerland,2023,84.92,Open
Switzerland,2024,82.0,Open
Switzerland,2025,78.36,Narrowed
Syria,2022,6.05,Closed
Syria,2023,6.17,Closed
Syria,2024,6.0,Closed
Syria,2025,6.26,Closed
Taiwan,2023,81.92,Open
Taiwan,2024,82.0,Open
Taiwan,2025,87.92,Open
Tajikistan,2023,11.61,Closed
Tajikistan,2024,11.0,Closed
Tajikistan,2025,9.95,Closed
Tanzania,2022,34.93,Repressed
Tanzania,2023,32.37,Repressed
Tanzania,2024,36.0,Repressed
Tanzania,2025,26.23,Repressed
Thailand,2023,35.69,Repressed
Thailand,2024,39.0,Repressed
Thailand,2025,34.24,Repressed
Timor-Leste,2022,60.0,Obstructed
Timor-Leste,2023,68.6,Narrowed
Timor-Leste,2024,71.0,Narrowed
Timor-Leste,2025,71.97,Narrowed
Togo,2022,30.17,Repressed
Togo,2023,38.82,Repressed
Togo,2024,38.0,Repressed
Togo,2025,29.29,Repressed
Tonga,2022,77.6,Narrowed
Tonga,2023,76.85,Narrowed
Tonga,2024,78.0,Narrowed
Tonga,2025,80.03,Narrowed
Trinidad and Tobago,2023,76.13,Narrowed
Trinidad and Tobago,2024,83.0,Open
Trinidad and Tobago,2025,83.96,Open
Tunisia,2023,37.21,Repressed
Tunisia,2024,37.0,Repressed
Tunisia,2025,33.85,Repressed
Turkey,2023,27.39,Repressed
Turkey,2024,24.0,Repressed
Turkey,2025,22.76,Repressed
Turkmenistan,2023,7.84,Closed
Turkmenistan,2024,9.0,Closed
Turkmenistan,2025,4.42,Closed
Tuvalu,2023,90.71,Open
Tuvalu,2024,91.0,Open
Tuvalu,2025,87.62,Open
Uganda,2022,28.98,Repressed
Uganda,2023,29.54,Repressed
Uganda,2024,30.0,Repressed
Uganda,2025,27.97,Repressed
Ukraine,2022,47.31,Obstructed
Ukraine,2023,44.57,Obstructed
Ukraine,2024,50.0,Obstructed
Ukraine,2025,52.4,Obstructed
United Arab Emirates,2022,14.5,Closed
United Arab Emirates,2023,15.05,Closed
United Arab Emirates,2024,11.0,Closed
United Arab Emirates,2025,9.0,Closed
United Kingdom,2023,57.51,Obstructed
United Kingdom,2024,60.0,Obstructed
United Kingdom,2025,59.5,Obstructed
United States of America,2022,57.84,Obstructed
United States of America,2023,65.33,Narrowed
United States of America,2024,62.0,Narrowed
United States of America,2025,56.4,Obstructed
Uruguay,2023,84.45,Open
Uruguay,2024,88.0,Open
Uruguay,2025,84.46,Open
Uzbekistan,2023,18.39,Closed
Uzbekistan,2024,20.0,Closed
Uzbekistan,2025,17.96,Closed
Vanuatu,2022,74.25,Narrowed
Vanuatu,2023,75.22,Narrowed
Vanuatu,2024,78.0,Narrowed
Vanuatu,2025,68.54,Narrowed
Venezuela,2023,20.32,Closed
Venezuela,2024,16.0,Closed
Venezuela,2025,14.24,Closed
Vietnam,2022,16.12,Closed
Vietnam,2023,13.45,Closed
Vietnam,2024,10.0,Closed
Vietnam,2025,13.1,Closed
Yemen,2022,11.64,Closed
Yemen,2023,11.57,Closed
Yemen,2024,14.0,Closed
Yemen,2025,13.11,Closed
Zambia,2023,52.66,Obstructed
Zambia,2024,52.0,Obstructed
Zambia,2025,53.25,Obstructed
Zimbabwe,2022,31.21,Repressed
Zimbabwe,2023,29.74,Repressed
Zimbabwe,2024,30.0,Repressed
Zimbabwe,2025,28.48,Repressed
