iso3,Accountability,Economic and fiscal governance,Political foundations,Rule of law,State capacity
TUR,0.3490181396231037,0.5367094402538631,0.35865124642013785,0.3705974130485481,0.49326792065090275
TUV,0.5829601596551078,0.3993266238055355,0.5961473515725426,0.6840603706559971,0.3993839115749947
TZA,0.440866656904871,0.42551739193853527,0.5256687468482595,0.4549384101442941,0.4106175858141072
UGA,0.40921943762409774,0.4453397415008523,0.4288155190335523,0.3523927791428833,0.41783006062239847
UKR,0.4798153809757823,0.5397889798218476,0.4320150255879879,0.42601334226083615,0.41680800025685794
URY,0.6643980454500459,0.5968828221379403,0.6465256910332314,0.6612015692760059,0.6063146541165165
USA,0.5844899758190124,0.6495049057773027,0.4804241324907805,0.5988226920681154,0.632016419604518
UZB,0.32772778461751073,0.47494573224441683,0.42440563383525204,0.37516242012938206,0.5261300117611463
VCT,0.5748080932182912,0.4558658314339953,0.5723971878080261,0.5527278989457295,0.5012906834126122
VEN,0.28404599554135535,0.2483504352044248,0.37951576275573906,0.23821411089994485,0.300182454351153
VGB,0.503755868544601,0.32911087497228164,0.5457746478873239,0.2658809428685577,0.4527765849693471
VIR,0.503755868544601,0.5090626887909341,0.5752009693809541,0.0161805833000399,0.6084509181524028
VNM,0.3844770776492714,0.41269442419173624,0.44190528020225306,0.43500073861386424,0.5137048257509158
VUT,0.573944870221313,0.4620443910648736,0.6065156937038778,0.602099051248896,0.45510234964058494
WSM,0.5294190082578629,0.37852175381492725,0.5802094039210384,0.6075197295907211,0.5325471127918016
XKX,0.5168181539173747,0.5173573409750414,0.5425605965777922,0.5146301617520144,0.46512304962126316
YEM,0.29374840891044973,0.27379299946120267,0.2554221551492565,0.25103900189568823,0.1858870502646274
ZAF,0.6032122830794526,0.5584002081919237,0.4880708394834486,0.5146425899798859,0.5042841633294131
ZMB,0.5316021752751798,0.4827656868597197,0.47403664747572527,0.4476690210860205,0.43155190530589915
ZWE,0.396913094577051,0.3469624350981008,0.3650378632727565,0.3271394104434254,0.3965107188687291
